In what year are you in your cumulative undergraduate studies?,In what year are you in your cumulative time at UC Berkeley?,Do you consider yourself an introvert or extrovert?,How many different people do you text (or any other forms of direct messaging) per day on average?,"On average, how many hours of sleep do you get each night?",Are you left-handed or right-handed?,Which leg do you put in first when putting on pants?
Fifth or above,Third,4,2,8,Right-handed,Left leg in first
First,First,4,4,6,Right-handed,Right leg in first
Second,Second,8,8,7,Right-handed,Left leg in first
Fourth,Fourth,,,,,
Fourth,Fourth,5,,6,Right-handed,I don't know
Not an undergrad,First,8,20,6,Right-handed,Right leg in first
Third,Fourth,6,2,6,Right-handed,Right leg in first
Not an undergrad,First,6,4,8,Right-handed,Right leg in first
Second,,,,,,
Not an undergrad,First,4,1,7,Right-handed,I don't know
Third,Third,3,4,6,Right-handed,Left leg in first
Second,Second,5,4,7,Right-handed,Left leg in first
Fourth,Second,2,8,7,Right-handed,Right leg in first
Second,Second,4,10,6,Left-handed,I don't know
Fourth,Fifth or above,4,3,7,Left-handed,Right leg in first
Third,Third,6,5,7,Right-handed,Left leg in first
Not an undergrad,First,3,3,7,Right-handed,Right leg in first
Third,Third,4,7,8,Left-handed,Right leg in first
Fourth,Fourth,8,4,6.5,Right-handed,Right leg in first
Third,Third,7,12,7,Right-handed,I don't know
Second,Second,6,4,8,Left-handed,Right leg in first
Fourth,Fourth,7,10,6,Right-handed,Right leg in first
Third,First,2,3,8,Right-handed,Right leg in first
Fifth or above,Fifth or above,8,6,6,Right-handed,I don't know
Second,Second,6,6,8,Right-handed,I don't know
Second,Second,2,1,7,Right-handed,Right leg in first
Second,Second,4,7,8,Right-handed,Right leg in first
Fourth,First,4,5,7.8,Right-handed,Right leg in first
Second,Second,5,9,6,Ambidextrous,I don't know
Second,Second,6,5,7,Right-handed,Right leg in first
Not an undergrad,First,5,2,7,Right-handed,Right leg in first
Third,Third,5,3,8,Left-handed,I don't know
Fourth,Fourth,7,15,9,Right-handed,Right leg in first
Fourth,Second,8,6,4,Right-handed,Left leg in first
First,First,3,3,7,Right-handed,Left leg in first
First,First,7,10,10,Right-handed,Left leg in first
Second,Second,4,5,7,Right-handed,I don't know
Fourth,Fourth,4,6,8,Right-handed,Left leg in first
Second,Second,3,3,7,Right-handed,I don't know
